File,condition,cell_count,p_sup
MAX_Vero_8h_Vic_INF_overview_01,Untreated,846,8.865248226950355
MAX_Vero_8h_Vic_INF_overview_02,Untreated,437,12.814645308924485
MAX_Vero_8h_Vic_INF_overview_03,Untreated,320,14.6875
MAX_Vero_8h_Vic_INF_overview_04,Untreated,308,6.493506493506493
MAX_Vero_8h_Vic_INF_overview_05,Untreated,273,5.128205128205128
MAX_Vero_8h_Vic_INF_overview_06,Untreated,542,11.07011070110701
MAX_Vero_8h_Vic_INF_overview_07,Untreated,497,6.639839034205232
MAX_Vero_8h_Vic_INF_overview_08,Untreated,534,7.116104868913857
MAX_Vero_8h_Vic_INF_overview_09,Untreated,587,8.858603066439523
MAX_Vero_8h_Vic_INF_overview_10,Untreated,279,4.301075268817205
MAX_Vero_8h_Vic_INF_overview_11,Untreated,256,2.34375
MAX_Vero_8h_Vic_INF_overview_12,Untreated,255,1.5686274509803921
MAX_Vero_8h_Vic_RDV_overview_01,RDV,770,2.4675324675324677
MAX_Vero_8h_Vic_RDV_overview_02,RDV,304,2.9605263157894735
MAX_Vero_8h_Vic_RDV_overview_03,RDV,256,3.90625
MAX_Vero_8h_Vic_RDV_overview_04,RDV,238,2.941176470588235
MAX_Vero_8h_Vic_RDV_overview_05,RDV,430,1.8604651162790697
MAX_Vero_8h_Vic_RDV_overview_06,RDV,274,1.4598540145985401
MAX_Vero_8h_Vic_RDV_overview_07,RDV,774,1.1627906976744187
MAX_Vero_8h_Vic_RDV_overview_08,RDV,556,1.2589928057553956
MAX_Vero_8h_Vic_RDV_overview_09,RDV,355,0.8450704225352111
MAX_Vero_8h_Vic_RDV_overview_10,RDV,318,2.20125786163522
MAX_Vero_8h_Vic_RDV_overview_11,RDV,261,0.7662835249042145
MAX_Vero_8h_Vic_RDV_overview_12,RDV,403,0.24813895781637718
